date,category,theme_id,theme_name_en,rank,opportunity_score,momentum_score,confidence,trend_stage,decision,sources_count,velocity_alert,saturation_alert,seasonal,notes
2026-08-26,coloring,cozy-kitchen-witch,Cozy Kitchen Witch,1,87,,High,2,BUILD_NOW,4,false,false,false,baseline snapshot (schema v2.0 migration)
2026-08-26,coloring,grandmacore-cottage,Grandmacore Cottage Coloring,2,85,,Low,1,BUILD_NOW,1,false,false,false,baseline snapshot; BUILD_NOW despite Low confidence because signal is official Pinterest data
2026-08-26,coloring,cozy-cafe-bookstore,Cozy Cafe & Bookstore Series,3,84,,Medium,3,BUILD_NOW,2,false,false,false,baseline snapshot (schema v2.0 migration)
2026-08-26,coloring,capybara-cottagecore,Capybara Cozy & Cottagecore,4,79,,Medium,3,TEST,3,false,false,false,baseline snapshot (schema v2.0 migration)
2026-08-26,coloring,cottagecore-mushroom-garden,Cottagecore Mushroom & Garden,5,77,,Medium,3,TEST,3,false,false,false,baseline snapshot (schema v2.0 migration)
2026-08-26,coloring,grayscale-photorealistic,Grayscale Photorealistic Nature & Animals,6,76,,Medium,2,TEST,2,false,false,false,baseline snapshot (schema v2.0 migration)
2026-08-26,coloring,bold-easy-cute-animals,Bold & Easy Cute Animals,7,74,,Medium,5,TEST,3,false,true,false,baseline snapshot; mature/saturated single-genre
2026-08-26,coloring,dark-academia-gothic-library,Dark Academia Gothic Library,8,68,,Low,2,WATCH,1,false,true,false,baseline snapshot; competitor surge observed on Amazon
2026-08-26,coloring,spooky-cute-halloween,Spooky Cute (Creepy-Cute),9,64,,Medium,3,AVOID,2,false,false,true,baseline snapshot; seasonal, folded into Cozy Kitchen Witch Halloween line
2026-08-26,coloring,kawaii-original-character,Kawaii Original-Character Coloring,10,60,,Medium,4,AVOID,2,false,true,false,baseline snapshot; IP-adjacent demand, hard to differentiate cleanly
2026-08-27,sticker,sticker-book-club-poetcore,Book Club Stickers,1,88,,Medium,3,BUILD_NOW,2,false,false,false,revised same-day after sub-niche deep dive; Poetcore split out to sticker-poetcore-stationery; TRADEMARK CHECK REQUIRED (BookTok/Silent Book Club are registered trademarks)
2026-08-27,sticker,sticker-coquette-bow,Coquette Bow Sticker Packs,2,85,,Medium,4,TEST,2,false,true,false,revised same-day after sub-niche deep dive; downgraded BUILD_NOW to TEST, baseline Pastel Bow niche already saturated (book published); Ballet Bow split out to sticker-ballet-bow
2026-08-27,sticker,sticker-dark-academia,Dark Academia Sticker Packs,3,79,,Medium,3,TEST,2,false,true,false,baseline snapshot; same world-view as coloring's dark-academia-gothic-library, both flagged saturation
2026-08-27,sticker,sticker-goblincore-mushroom-frog,Frog & Mushroom (Cottagecore/Goblincore) Stickers,4,82,,High,3,BUILD_NOW,4,false,false,false,revised same-day after sub-niche deep dive; confidence raised Medium->High; linked to coloring's cottagecore-mushroom-garden; avoid Keroppi/Sanrio-style frog design
2026-08-27,sticker,sticker-gimme-gummy,Gimme Gummy (Candy-Glossy) Stickers,5,74,,Low,1,TEST,1,false,false,false,baseline snapshot; Pinterest official trend, no Etsy/Amazon confirmation yet
2026-08-27,sticker,sticker-curated-clutter-vintage-travel,Curated Clutter / Vintage Travel Sticker Collections,6,72,,Low,1,TEST,1,false,false,false,baseline snapshot; TRADEMARK CHECK REQUIRED for real place/brand imagery
2026-08-27,sticker,sticker-neurodivergent-community-humor,Neurodivergent / Chronic-Illness Community Humor Stickers,7,70,,Low,2,TEST,1,false,false,false,baseline snapshot; creator-authentic niche, requires respectful representation
2026-08-27,sticker,sticker-profession-dark-humor,Profession Dark-Humor Stickers (Nurse/Therapist/Teacher),8,68,,Medium,4,TEST,1,false,true,false,baseline snapshot; established/saturated niche, differentiate wording
2026-08-27,sticker,sticker-capybara,Capybara Sticker Packs,9,65,,Low,3,TEST,1,false,false,false,baseline snapshot; overlaps coloring's capybara-cottagecore
2026-08-27,sticker,sticker-y2k-holographic,Y2K Holographic / Chrome Finish Packs,10,60,,Low,2,WATCH,1,false,false,false,baseline snapshot; a finish/material trend rather than a standalone theme
2026-08-27,sticker,sticker-poetcore-stationery,Poetcore Stationery Stickers,11,62,,Low,1,TEST,1,false,false,false,new theme split out from sticker-book-club-poetcore; fact vs hypothesis separated, no direct sticker-market evidence yet, avoid "Tortured Poet(s)"-style phrasing (TRADEMARK CHECK REQUIRED)
2026-08-27,sticker,sticker-ballet-bow,Balletcore Bow Sticker Packs,12,63,,Low,2,TEST,2,false,false,false,new theme split out from sticker-coquette-bow; upstream fashion/Pinterest momentum ahead of sticker-specific supply
2026-08-31,coloring,cozy-cafe-bookstore,Cozy Cafe & Bookstore Series,1,86,55,High,3,BUILD_NOW,4,false,false,false,先週3位→今週1位。Cozy Libraryを独立フレーバーとして企画に追加。
2026-08-31,coloring,cozy-kitchen-witch,Cozy Kitchen Witch,2,85,45,High,3,BUILD_NOW,5,false,true,false,Trend Stage 2→3(Amazon商品増加)。競合急増のためサブニッチ(Sea Witch等)への早期展開を推奨。
2026-08-31,coloring,digital-detox-analog-ritual,Analog Lifestyle / Digital-Detox Ritual Coloring,3,83,,Medium,3,BUILD_NOW,4,true,false,false,初回のtheme登録(第1回目のmomentum計算対象外のためnull)。Confidenceは高いOpportunity Scoreに対しあえてMediumに抑制(Etsy側の直接裏付けがまだ弱いため)。
2026-08-31,coloring,goblincore-coloring,Goblincore Coloring,4,78,,Medium,2,TEST,4,true,false,false,ステッカーモジュールのsticker-goblincore-mushroom-frog(BUILD_NOW/BOTH)と隣接。商品企画時は重複回避を要検討。
2026-08-31,coloring,grayscale-photorealistic,Grayscale Photorealistic Nature & Animals,5,79,55,Medium,3,TEST,3,false,false,false,Trend Stage 2→3。
2026-08-31,coloring,cottagecore-mushroom-garden,Cottagecore Mushroom & Garden,6,75,35,Medium,4,TEST,4,false,true,false,Trend Stage 3→4。飽和方向、Goblincoreとの統合企画を検討。
2026-08-31,coloring,bold-easy-cute-animals,Bold & Easy Cute Animals,7,73,40,Medium,5,TEST,4,false,true,false,単独ジャンルは成熟済み。単一動物への絞り込み(Axolotl等)が次の一手。
2026-08-31,coloring,capybara-cottagecore,Capybara Cozy & Cottagecore,8,66,15,Medium,5,TEST,4,false,true,false,先週79→今週66。SATURATION ALERT、新規参入には慎重を要する。
2026-08-31,coloring,grandmacore-cottage,Grandmacore Cottage Coloring,9,68,10,Low,1,TEST,2,false,false,false,先週BUILD_NOW(85点)→今週TEST(68点)へ格下げ。1週間経っても実商品化が進まなかったための慎重な再評価(機械的足切りではなく実地追跡の結果)。
2026-08-31,coloring,dark-academia-gothic-library,Dark Academia Gothic Library,10,62,20,Low,4,WATCH,2,false,true,false,Trend Stage 2→4。低競争ニッチという評価はもはや過去のもの、新規参入は非推奨。
2026-08-31,coloring,spooky-cute-halloween,Spooky Cute (Creepy-Cute),11,65,50,Medium,3,AVOID,3,false,false,true,単独商品化ではなくCozy Kitchen Witchの季節限定シリーズとして吸収する方針は継続。
2026-08-31,coloring,kawaii-original-character,Kawaii Original-Character Coloring,12,58,25,Medium,4,AVOID,2,false,true,false,先週から明確な変化なし。
2026-08-31,coloring,old-money-quiet-luxury,Old Money / Quiet Luxury Lifestyle Coloring,13,68,,Low,1,TEST,1,false,false,false,新規ブルーオーシャン候補。次回優先調査(Etsy/Pinterest側の裏付け確認)。
2026-08-31,coloring_japan,jp-showa-retro-kissa,Showa Retro Kissaten (Retro Coffee Shop) Coloring,1,78,,Medium,2,BUILD_NOW,2,false,false,false,確認市場数2(Medium相当)だが、親カテゴリ(昭和レトロ全般)は成熟済みなのに本サブテーマの書籍競合はほぼ皆無という点を重視しBUILD_NOWの例外扱いとした。楽天/BOOTH/SNS側の裏付けが次回最優先確認事項。
2026-08-31,coloring_japan,jp-fabric-nurie,Fabric Coloring (Textile Crossover),2,68,,Medium,2,TEST,1,false,false,false,商品形態が紙の塗り絵本と異なる点に注意。BOOTH側で同人・ハンドメイド作家の追随があるか次回確認。
2026-08-31,coloring_japan,jp-yokai-folklore,Japanese Yokai/Folklore Coloring,3,65,,Low,1,TEST,1,false,false,false,妖怪は民間伝承でIPリスクは低いが、特定作家(水木しげる等)の画風模倣は避けること。参入者はまだ少数。
2026-08-31,coloring_japan,jp-number-paint-kit,Number Paint / Paint-by-Number Kit,4,62,,Medium,2,TEST,1,false,false,false,紙の塗り絵本ではなくキャンバス地のペイントバイナンバー形式のため、本モジュール想定の商品形態(紙/PDF)とは異なる点に注意。優先度は他テーマより下げる。
2026-08-31,coloring_japan,jp-futosen-ryouiku,Thick-Line Coloring for Special Needs/Therapy,5,58,,Low,1,TEST,1,false,false,false,発達支援・介護分野という独立した客層への特化商品。
2026-08-31,coloring_japan,jp-goshuin-jinja,Goshuin/Shrine-Temple Architecture Coloring (Whitespace),6,60,,Low,0,WATCH,1,false,false,false,「見つからない」ことの確認であり積極的需要シグナルではない。楽天/BOOTH側の裏付けを次回優先確認。特定寺社のロゴ・御紋章の使用は避けること。
2026-08-31,coloring_japan,jp-capybara-original,"Capybara (Original, Non-IP) Coloring",7,55,,Low,0,WATCH,3,false,false,false,既存キャラクター「カピバラさん」(トライワークス)はIP該当のため模倣は避けること。3市場で独立に「未確認」という一致した消極的シグナルがある点でconfidenceをLowながらも記録価値ありと判断。
2026-08-31,coloring_japan,jp-mushroom-import,Mushroom Motif (Import from Overseas Cottagecore Trend),8,50,,Low,0,WATCH,1,false,false,false,海外版coloring themes.jsonのcottagecore-mushroom-garden(TEST)と概念的に対応。海外トレンドの国内輸入候補として継続観察。
2026-08-31,coloring_japan,jp-tenshi-kaiwai,Tenshi Kaiwai (Angel Subculture Aesthetic) Coloring,9,48,,Low,0,WATCH,1,false,false,false,SNS単独の情報。他市場での裏付けなしに商品化判断してはならない(config.jsonの原則通り)。
2026-08-31,coloring_japan,jp-oshikatsu-non-ip,Non-IP 'Oshikatsu' (Fan Activity) Coloring (Hypothesis),10,45,,Low,0,WATCH,1,false,false,false,仮説段階(WATCH)。実在商品としての裏付けが得られるまでスコアリングは暫定。次回BOOTH/Minne/Creemaで個人クリエイターの先行事例を重点確認。
